Id,age,education,marital,campaign_response
395,57,master,married,0
396,34,phd,together,0
397,54,graduation,married,0
398,41,graduation,together,1
399,38,graduation,single,0
400,45,2n cycle,together,1
401,69,2n cycle,divorced,0
402,60,graduation,together,0
403,51,graduation,single,0
404,65,graduation,together,0
405,70,phd,single,1
406,60,graduation,married,0
407,53,phd,single,1
408,54,phd,divorced,0
409,51,phd,together,0
410,62,graduation,married,0
411,43,2n cycle,single,1
412,49,graduation,married,0
413,70,phd,married,0
414,38,graduation,single,0
415,63,graduation,together,0
416,82,phd,married,0
417,50,2n cycle,together,0
418,31,graduation,together,0
419,44,graduation,single,1
420,54,master,married,0
421,52,phd,married,0
422,42,graduation,married,0
423,43,master,together,0
424,51,master,married,1
425,84,phd,married,0
426,72,graduation,married,0
427,39,graduation,married,0
428,36,graduation,married,0
429,36,2n cycle,together,0
430,57,graduation,married,0
431,64,phd,single,1
432,36,graduation,married,0
433,58,2n cycle,together,0
434,61,graduation,married,0
435,55,graduation,single,0
436,69,master,together,0
437,59,graduation,divorced,0
438,76,master,widow,0
439,54,phd,married,0
440,39,2n cycle,married,0
441,36,graduation,married,0
442,77,phd,married,0
443,79,graduation,married,0
444,36,graduation,single,0
445,51,2n cycle,married,0
446,66,graduation,divorced,0
447,53,master,divorced,0
448,61,graduation,single,0
449,49,graduation,married,0
450,72,phd,married,0
451,70,graduation,single,0
452,56,graduation,married,0
453,54,master,single,0
454,45,2n cycle,married,0
455,49,graduation,married,0
456,53,graduation,married,0
457,59,2n cycle,single,1
458,41,master,married,1
459,73,graduation,married,0
460,43,2n cycle,together,0
461,61,graduation,married,1
462,76,graduation,widow,0
463,67,phd,widow,0
464,62,graduation,married,0
465,50,graduation,married,0
466,56,phd,single,0
467,70,phd,together,1
468,55,graduation,widow,0
469,74,graduation,married,0
470,54,phd,together,0
471,50,graduation,married,0
472,45,graduation,married,1
473,44,phd,together,1
474,47,graduation,married,0
475,37,graduation,single,0
476,69,graduation,married,0
477,53,phd,single,0
478,48,master,married,0
479,53,phd,married,0
480,48,graduation,married,0
481,52,master,married,0
482,53,master,divorced,0
483,51,graduation,single,1
484,50,graduation,married,0
485,65,master,together,0
486,61,phd,divorced,1
487,49,master,together,0
488,51,graduation,married,0
489,56,graduation,married,0
490,73,2n cycle,widow,0
491,67,phd,together,0
492,49,graduation,divorced,0
493,70,graduation,together,0
494,61,master,single,0
495,81,phd,divorced,0
496,63,master,divorced,0
497,47,graduation,divorced,0
498,54,phd,together,0
499,76,phd,together,0
500,81,graduation,married,0
501,75,graduation,together,0
502,64,master,together,0
503,35,basic,married,0
504,40,phd,married,0
505,69,master,together,0
506,72,graduation,widow,0
507,49,graduation,married,0
508,36,graduation,single,0
509,33,graduation,married,0
510,66,graduation,divorced,0
511,44,phd,together,0
512,46,graduation,single,0
513,61,graduation,married,0
514,66,master,together,0
515,79,phd,together,0
516,50,master,single,0
517,64,graduation,married,0
518,35,graduation,single,0
519,66,graduation,together,0
520,81,master,married,0
521,60,graduation,divorced,0
522,38,master,single,0
523,34,graduation,married,0
524,72,graduation,married,0
525,38,graduation,married,1
526,39,graduation,married,0
527,67,phd,together,0
528,48,master,married,0
529,61,graduation,single,0
530,65,phd,married,0
531,50,2n cycle,widow,0
532,56,graduation,single,0
533,48,master,together,0
534,63,graduation,married,0
535,43,graduation,single,0
536,74,master,together,0
537,58,graduation,together,0
538,58,graduation,divorced,1
539,73,2n cycle,together,0
540,44,master,single,0
541,48,2n cycle,together,0
542,56,graduation,widow,0
543,41,phd,single,0
544,43,phd,married,1
545,49,graduation,together,0
546,35,2n cycle,married,0
547,61,graduation,widow,1
548,45,graduation,married,0
549,57,graduation,married,1
550,52,master,married,0
551,62,2n cycle,single,0
552,36,graduation,single,1
553,54,phd,single,0
554,62,graduation,married,0
555,76,master,married,1
556,73,graduation,together,0
557,47,phd,single,0
558,43,graduation,married,0
559,55,2n cycle,married,0
560,66,graduation,together,1
561,47,graduation,married,0
562,45,graduation,single,0
563,54,master,together,0
564,55,2n cycle,married,0
565,62,phd,divorced,0
566,75,phd,together,0
567,63,graduation,single,0
568,74,master,together,0
569,46,graduation,single,0
570,55,graduation,together,0
571,51,graduation,married,0
572,57,phd,married,0
573,47,2n cycle,single,0
574,55,phd,together,0
575,44,master,married,0
576,48,phd,married,1
577,57,graduation,married,0
578,55,graduation,married,0
579,59,phd,together,0
580,69,master,together,0
581,51,phd,married,0
582,74,graduation,together,0
583,58,2n cycle,together,0
584,74,master,married,0
585,42,graduation,together,0
586,54,2n cycle,together,0
587,70,graduation,widow,1
588,64,master,married,0
589,70,graduation,together,0
590,66,graduation,together,0
591,41,phd,single,1
592,50,master,married,1
593,60,master,single,0
594,48,graduation,together,0
595,53,phd,married,0
596,50,master,together,1
597,56,graduation,divorced,0
598,56,master,married,0
599,47,2n cycle,married,0
600,44,graduation,together,0
601,64,graduation,single,0
602,65,graduation,together,0
603,70,graduation,single,0
604,77,phd,married,0
605,59,master,together,0
606,39,master,single,1
607,52,graduation,widow,0
608,69,graduation,divorced,0
609,50,basic,married,0
610,60,graduation,married,0
611,56,master,single,0
612,81,master,widow,0
613,52,basic,married,0
614,58,graduation,married,0
615,56,phd,single,1
616,51,graduation,married,0
617,60,master,single,0
618,49,phd,together,0
619,47,graduation,widow,0
620,65,master,married,0
621,64,phd,married,0
622,54,graduation,single,0
623,76,graduation,widow,0
624,47,2n cycle,single,0
625,70,2n cycle,married,0
626,49,graduation,married,0
627,50,graduation,single,0
628,65,graduation,together,1
629,48,phd,divorced,0
630,48,graduation,single,0
631,55,phd,married,0
632,67,phd,together,0
633,55,2n cycle,married,0
634,65,2n cycle,single,1
635,52,graduation,single,1
636,63,graduation,divorced,0
637,73,graduation,single,0
638,63,graduation,married,0
639,75,master,divorced,1
640,54,graduation,married,0
641,65,graduation,together,0
642,77,phd,together,0
643,66,phd,divorced,0
644,61,graduation,single,0
645,78,master,together,1
646,54,phd,married,0
647,55,graduation,together,1
648,55,master,divorced,0
649,48,master,married,0
650,67,graduation,together,0
651,65,master,single,0
652,40,graduation,together,0
653,51,graduation,married,0
654,75,phd,together,0
655,70,graduation,divorced,0
656,50,graduation,divorced,0
657,72,graduation,together,0
658,67,2n cycle,together,0
659,78,phd,together,0
660,59,phd,single,0
661,62,graduation,together,0
662,40,graduation,married,0
663,50,graduation,widow,0
664,45,basic,married,0
665,69,master,together,0
666,66,graduation,married,0
667,51,phd,together,0
668,38,basic,single,0
669,57,phd,married,0
670,54,2n cycle,married,0
671,61,phd,married,0
672,63,master,single,0
673,55,graduation,widow,0
674,45,graduation,married,0
675,50,phd,single,0
676,51,graduation,married,0
677,62,phd,married,1
678,46,graduation,single,0
679,40,2n cycle,married,1
680,45,phd,single,0
681,62,graduation,divorced,0
682,58,graduation,divorced,0
683,43,2n cycle,together,0
684,70,graduation,together,0
685,58,graduation,together,0
686,49,phd,divorced,0
687,53,phd,single,1
688,43,phd,married,0
689,36,phd,together,0
690,56,phd,together,0
691,65,phd,divorced,1
692,55,graduation,single,0
693,67,master,together,0
694,73,basic,together,0
695,76,master,widow,1
696,64,master,married,0
697,30,graduation,single,0
698,76,phd,single,1
699,64,graduation,single,0
700,65,graduation,together,0
701,52,graduation,divorced,0
702,47,graduation,married,0
703,47,graduation,divorced,0
704,37,master,single,1
705,57,master,divorced,0
706,39,graduation,married,0
707,55,phd,divorced,0
708,74,graduation,divorced,0
709,77,phd,together,0
710,54,master,married,1
711,39,graduation,married,0
712,60,master,single,0
713,50,graduation,single,0
714,72,graduation,together,0
715,43,graduation,together,0
716,50,phd,married,0
717,65,2n cycle,divorced,1
718,47,graduation,together,0
719,55,graduation,divorced,0
720,67,graduation,single,0
721,60,master,married,0
722,71,graduation,married,0
723,41,phd,married,0
724,60,graduation,married,0
725,49,graduation,married,1
726,59,graduation,married,0
727,70,graduation,married,0
728,49,master,divorced,0
729,60,master,married,0
730,34,graduation,together,0
731,76,phd,divorced,0
732,72,phd,together,0
733,47,graduation,married,0
734,77,phd,divorced,0
735,52,graduation,divorced,0
736,76,graduation,married,1
737,52,graduation,married,0
738,73,master,together,0
739,36,basic,married,0
740,56,graduation,together,0
741,72,phd,single,0
742,69,master,together,0
743,75,phd,single,0
744,47,2n cycle,together,0
745,61,graduation,married,0
746,73,graduation,together,0
747,50,2n cycle,married,0
748,30,graduation,single,0
749,55,graduation,single,0
750,71,2n cycle,married,1
751,53,phd,together,0
752,67,phd,together,0
753,50,graduation,widow,0
754,56,graduation,married,1
755,46,graduation,together,0
756,47,2n cycle,together,0
757,53,phd,together,1
758,61,graduation,married,0
759,46,master,married,0
760,66,phd,married,0
761,44,2n cycle,married,0
762,58,graduation,single,0
763,37,master,married,0
764,47,phd,single,1
765,73,graduation,single,0
766,70,graduation,married,0
767,48,graduation,married,0
768,38,graduation,together,0
769,60,2n cycle,married,0
770,69,master,married,0
771,46,graduation,married,0
772,74,phd,married,0
773,60,graduation,single,1
774,53,graduation,married,0
775,68,phd,together,0
776,72,graduation,together,0
777,60,phd,single,0
778,67,phd,together,0
779,70,master,single,0
780,54,graduation,single,0
781,51,phd,single,0
782,49,graduation,together,0
783,55,graduation,single,0
784,53,graduation,married,0
785,53,graduation,together,0
786,39,basic,married,0
787,65,master,together,0
788,57,phd,divorced,1
789,47,master,married,0
790,49,graduation,divorced,0
791,80,master,together,0
792,68,phd,married,1
793,75,graduation,single,0
794,47,graduation,married,0
795,64,graduation,single,0
796,63,master,single,0
797,71,phd,married,0
798,60,2n cycle,divorced,0
799,52,graduation,together,0
800,57,graduation,married,0
801,55,master,married,0
802,69,graduation,widow,0
803,74,graduation,married,0
804,81,phd,single,0
805,67,graduation,married,1
806,49,master,married,0
807,54,master,married,0
808,68,graduation,married,0
809,53,graduation,married,0
810,53,graduation,single,0
811,44,graduation,married,0
812,53,graduation,single,1
813,50,graduation,single,0
814,70,master,married,0
815,39,phd,together,0
816,55,phd,together,0
817,49,graduation,married,0
818,71,graduation,single,0
819,53,graduation,married,0
820,47,2n cycle,married,0
821,45,phd,single,1
822,53,graduation,married,0
823,64,graduation,single,1
824,62,graduation,married,0
825,66,graduation,together,1
826,66,2n cycle,divorced,0
827,71,graduation,married,0
828,63,graduation,divorced,0
829,67,phd,widow,0
830,41,graduation,together,0
831,49,phd,divorced,0
832,33,graduation,single,0
833,58,phd,together,0
834,45,2n cycle,together,0
835,58,graduation,married,0
836,69,graduation,married,0
837,53,master,single,0
838,45,graduation,divorced,0
839,45,2n cycle,single,0
840,48,graduation,single,0
841,75,graduation,together,0
842,51,graduation,married,0
843,37,graduation,single,0
844,44,graduation,married,0
845,65,2n cycle,married,0
846,55,graduation,together,1
847,34,2n cycle,single,0
848,69,master,single,0
849,62,graduation,single,0
850,45,graduation,married,0
851,51,graduation,single,0
852,71,phd,married,0
853,68,2n cycle,married,0
854,59,phd,together,0
855,51,phd,married,1
856,46,graduation,single,0
857,52,master,married,0
858,40,graduation,married,0
859,59,graduation,together,0
860,36,2n cycle,married,0
861,56,graduation,together,0
862,56,master,together,0
863,38,graduation,married,0
864,36,2n cycle,together,0
865,50,2n cycle,single,0
866,52,phd,together,0
867,59,master,single,0
868,39,master,single,0
869,47,graduation,together,0
870,46,graduation,together,0
871,42,phd,together,0
872,66,graduation,single,0
873,49,graduation,together,0
874,44,2n cycle,single,0
875,47,master,together,0
876,72,graduation,together,0
877,54,master,divorced,0
878,42,graduation,married,0
879,69,master,single,0
880,47,2n cycle,together,0
881,53,graduation,single,1
882,50,graduation,married,0
883,50,graduation,divorced,0
884,44,2n cycle,married,0
885,53,phd,single,1
886,55,phd,together,0
887,72,phd,single,0
888,66,graduation,married,0
889,63,graduation,together,0
890,47,master,single,0
891,52,graduation,married,0
892,60,master,widow,0
893,42,graduation,married,0
894,34,basic,single,0
895,82,phd,divorced,1
896,53,phd,single,0
897,69,graduation,together,1
898,67,graduation,divorced,0
899,51,phd,married,0
900,39,graduation,divorced,0
901,67,graduation,married,0
902,55,graduation,divorced,0
903,58,graduation,together,0
904,52,graduation,together,0
905,56,graduation,together,0
906,48,graduation,single,0
907,64,graduation,single,1
908,54,graduation,widow,0
909,51,graduation,together,0
910,39,phd,married,0
911,59,phd,single,0
912,33,graduation,together,0
913,62,phd,widow,1
914,53,master,married,1
915,31,graduation,single,1
916,71,graduation,married,0
917,65,master,together,0
918,43,phd,married,1
919,71,2n cycle,single,0
920,71,phd,single,0
921,70,phd,together,0
922,32,graduation,single,0
923,56,master,single,1
924,77,phd,married,0
925,39,graduation,together,0
926,46,master,together,0
927,47,graduation,married,0
928,43,2n cycle,single,0
929,32,graduation,single,0
930,49,phd,married,0
931,51,phd,together,0
932,36,graduation,single,0
933,74,phd,single,0
934,36,basic,married,0
935,73,graduation,single,0
936,54,phd,together,0
937,54,graduation,together,0
938,55,phd,married,0
939,54,graduation,single,0
940,50,phd,divorced,0
941,73,2n cycle,single,0
942,63,phd,together,0
943,42,graduation,divorced,1
944,72,graduation,together,1
945,39,basic,single,0
946,38,phd,married,0
947,43,2n cycle,married,0
948,46,graduation,divorced,0
949,48,graduation,together,0
950,50,2n cycle,divorced,0
951,46,phd,together,0
952,49,phd,together,0
953,52,master,divorced,1
954,54,phd,single,0
955,49,master,together,0
956,49,phd,married,0
957,60,graduation,married,1
958,73,graduation,single,0
959,52,graduation,married,0
960,68,phd,divorced,0
961,58,graduation,divorced,0
962,63,phd,single,0
963,56,master,together,1
964,50,phd,married,0
965,45,graduation,married,0
966,66,graduation,together,0
967,52,graduation,married,1
968,52,graduation,married,0
969,51,phd,married,1
970,45,graduation,together,0
971,37,graduation,married,0
972,57,phd,together,0
973,37,2n cycle,married,0
974,66,2n cycle,divorced,0
975,54,master,together,0
976,63,graduation,married,0
977,66,master,together,0
978,60,master,married,0
979,73,graduation,married,0
980,71,graduation,together,0
981,65,2n cycle,widow,0
982,60,graduation,divorced,0
983,46,master,divorced,0
984,47,graduation,divorced,0
985,75,graduation,married,1
986,51,phd,married,0
987,47,phd,married,0
988,56,graduation,married,1
989,49,2n cycle,single,0
990,69,phd,widow,0
991,71,graduation,divorced,1
992,53,2n cycle,married,0
993,44,master,together,0
994,36,graduation,single,0
995,71,graduation,divorced,0
996,30,graduation,single,0
997,47,graduation,together,0
998,68,graduation,together,0
999,52,graduation,married,0
1000,69,graduation,divorced,0
1001,69,phd,widow,1
1002,38,phd,single,1
1003,44,2n cycle,married,1
1004,38,graduation,together,0
1005,71,phd,married,0
1006,71,graduation,single,1
1007,72,master,married,0
1008,73,graduation,together,0
1009,57,graduation,married,0
1010,62,phd,single,0
1011,46,graduation,together,0
1012,49,phd,together,0
1013,47,graduation,single,0
1014,57,master,together,0
1015,54,master,married,0
1016,74,master,married,0
1017,60,2n cycle,married,0
1018,56,graduation,together,0
1019,52,graduation,married,0
1020,49,graduation,single,0
1021,52,graduation,married,0
1022,51,phd,together,0
1023,72,phd,together,1
1024,59,master,together,0
1025,47,graduation,married,0
1026,58,phd,married,0
1027,47,graduation,single,1
1028,38,basic,single,0
1029,67,phd,divorced,0
1030,61,2n cycle,together,0
1031,54,graduation,together,1
1032,54,graduation,single,1
1033,56,graduation,together,0
1034,48,2n cycle,married,0
1035,52,graduation,married,0
1036,45,graduation,single,0
1037,67,phd,together,0
1038,53,master,single,0
1039,54,phd,married,1
1040,72,graduation,married,0
1041,66,graduation,married,0
1042,71,graduation,married,0
1043,34,graduation,single,0
1044,63,graduation,together,0
1045,39,graduation,together,1
1046,60,master,single,0
1047,59,master,married,0
1048,65,phd,married,0
1049,41,graduation,together,1
1050,59,graduation,married,0
1051,60,2n cycle,married,0
1052,59,phd,together,0
1053,76,phd,married,0
1054,55,2n cycle,divorced,1
1055,42,master,married,0
1056,40,graduation,single,0
1057,51,graduation,married,0
1058,74,phd,married,0
1059,73,graduation,single,0
1060,38,graduation,together,0
1061,76,master,married,0
1062,67,graduation,together,0
1063,38,phd,single,1
1064,52,phd,divorced,0
1065,61,phd,married,0
1066,64,graduation,married,0
1067,33,graduation,single,1
1068,60,2n cycle,divorced,0
1069,69,graduation,divorced,0
1070,47,graduation,married,0
1071,54,phd,together,0
1072,59,graduation,together,0
1073,70,graduation,together,0
1074,72,graduation,married,0
1075,67,graduation,together,0
1076,64,graduation,together,0
1077,44,phd,married,0
1078,49,2n cycle,together,0
1079,57,master,single,0
1080,47,phd,married,0
1081,60,graduation,single,0
1082,54,graduation,married,1
1083,69,graduation,married,1
1084,43,graduation,together,0
1085,55,master,single,1
1086,48,graduation,married,0
1087,55,graduation,single,0
1088,67,phd,together,1
1089,42,graduation,together,0
1090,67,phd,single,1
1091,52,phd,married,0
1092,51,phd,single,0
1093,66,graduation,together,0
1094,53,phd,single,0
1095,60,phd,married,0
1096,46,graduation,single,0
1097,67,graduation,divorced,0
1098,39,2n cycle,single,0
1099,43,master,together,0
1100,46,graduation,married,0
1101,50,graduation,divorced,1
1102,46,2n cycle,married,0
1103,39,graduation,married,0
1104,55,graduation,together,0
1105,53,graduation,married,0
1106,65,phd,single,0
1107,73,phd,married,0
1108,55,2n cycle,married,0
1109,51,2n cycle,married,0
1110,60,graduation,married,0
1111,71,graduation,divorced,0
1112,42,2n cycle,single,1
1113,52,phd,single,0
1114,65,master,single,0
1115,41,phd,single,0
1116,54,graduation,together,0
1117,42,phd,married,1
1118,42,master,married,1
1119,59,basic,together,0
1120,47,2n cycle,married,0
1121,57,graduation,single,0
1122,46,phd,married,0
1123,52,master,divorced,0
1124,46,graduation,single,0
1125,71,graduation,married,0
1126,63,graduation,divorced,1
1127,59,graduation,single,0
1128,48,graduation,together,0
1129,40,basic,single,0
1130,73,2n cycle,divorced,1
1131,74,master,married,0
1132,58,graduation,single,0
1133,47,graduation,married,0
1134,49,graduation,together,0
1135,40,graduation,single,1
1136,51,2n cycle,together,0
1137,57,phd,married,0
1138,63,phd,divorced,1
1139,36,master,divorced,0
1140,64,graduation,married,0
1141,72,master,together,0
1142,36,graduation,married,0
1143,47,2n cycle,divorced,0
1144,63,phd,single,0
1145,80,graduation,widow,0
1146,51,master,together,0
1147,44,graduation,together,1
1148,69,graduation,together,0
1149,71,phd,married,0
1150,39,graduation,single,1
1151,82,phd,widow,0
1152,61,graduation,together,0
1153,46,graduation,married,0
1154,51,graduation,together,1
1155,65,master,married,0
1156,62,phd,single,0
1157,49,graduation,married,1
1158,51,graduation,together,0
1159,64,graduation,married,0
1160,74,graduation,married,0
1161,60,graduation,married,0
1162,69,graduation,together,0
